VIA,Tipo,Subtipo
0,Otro,
3,Fauna,
6,Hombre,
9,Geográfico,
12,Hombre,
15,Hombre,
17,Descriptivo,
24,Hombre,
25,Hombre,
26,Hombre,
33,Histórico,
36,Hombre,
39,Hombre,
42,Lugar/Ciudad,
45,Hombre,
48,Descriptivo,
49,Familia,
50,Mujer,Educación
51,Hombre,
54,Pais/Nación/Región,
57,Hombre,
61,Descriptivo,
62,Lugar/Ciudad,
63,Lugar/Ciudad,
64,Lugar/Ciudad,
65,Lugar/Ciudad,
66,Hombre,
67,Lugar/Ciudad,
69,Hombre,
70,Hombre,
72,Lugar/Ciudad,
77,Descriptivo,
78,Geográfico,
81,Hombre,
87,Hombre,
90,Hombre,
93,Geográfico,
94,Descriptivo,
95,Hombre,
99,Geográfico,
102,Geográfico,
105,Hombre,
106,Hombre,
107,Hombre,
108,Histórico,
109,Hombre,
111,Hombre,
114,Astronómico,
115,Hombre,
116,Descriptivo,
117,Geográfico,
119,Fauna,
120,Pais/Nación/Región,
121,Otro,
123,Hombre,
126,Histórico,
129,Otro,
135,Hombre,
138,Lugar/Ciudad,
141,Histórico,
144,Histórico,
145,Flora,
150,Hombre,
153,Hombre,
154,Hombre,
156,Hombre,
159,Hombre,
162,Hombre,
163,Hombre,
165,Hombre,
168,Hombre,
174,Hombre,
175,Hombre,
176,Mujer,Cultura
177,Geográfico,
180,Hombre,
183,Pais/Nación/Región,
186,Hombre,
187,Flora,
189,Hombre,
192,Lugar/Ciudad,
195,Pais/Nación/Región,
198,Geográfico,
200,Descriptivo,
201,Hombre,
203,Descriptivo,
204,Hombre,
206,Descriptivo,
207,Hombre,
208,Fauna,Ficción
209,Descriptivo,
210,Geográfico,
213,Hombre,
215,Hombre,
216,Hombre,
219,Astronómico,
222,Hombre,
224,Pais/Nación/Región,
225,Hombre,
227,Hombre,
228,Lugar/Ciudad,
229,Flora,
230,Histórico,
231,Lugar/Ciudad,
234,Hombre,
238,Flora,
239,Hombre,
240,Lugar/Ciudad,
241,Hombre,
243,Hombre,
245,Hombre,
246,Hombre,
247,Hombre,
248,Hombre,
249,Hombre,
251,Hombre,
252,Lugar/Ciudad,
253,Astronómico,
254,Hombre,
255,Hombre,
256,Familia,
257,Descriptivo,
258,Hombre,
259,Hombre,
260,Familia,
261,Hombre,
262,Hombre,
264,Hombre,
265,Descriptivo,
267,Hombre,
270,Hombre,
273,Hombre,
276,Hombre,
279,Hombre,
282,Hombre,
285,Hombre,
288,Geográfico,
289,Hombre,
291,Geográfico,
297,Hombre,
298,Geográfico,
299,Geográfico,
300,Pais/Nación/Región,
303,Pais/Nación/Región,
306,Pais/Nación/Región,
311,Hombre,
312,Hombre,
314,Mujer,Pionera
315,Lugar/Ciudad,
316,Hombre,
321,Hombre,
324,Lugar/Ciudad,
326,Flora,
327,Hombre,
330,Hombre,
331,Descriptivo,
333,Hombre,
336,Hombre,
339,Hombre,
342,Lugar/Ciudad,
345,Pais/Nación/Región,
348,Descriptivo,
354,Geográfico,
356,Hombre,
357,Geográfico,
360,Hombre,
362,Hombre,
363,Hombre,
364,Astronómico,
366,Hombre,
369,Lugar/Ciudad,
372,Hombre,
375,Astronómico,
376,Lugar/Ciudad,
377,Lugar/Ciudad,
378,Geográfico,
384,Geográfico,
387,Pais/Nación/Región,
393,Hombre,
396,Hombre,
399,Hombre,
400,Descriptivo,
402,Hombre,
403,Hombre,
405,Pais/Nación/Región,
406,Otro,
408,Pais/Nación/Región,
410,Geográfico,
411,Pais/Nación/Región,
417,Hombre,
420,Hombre,
421,Hombre,
423,Otro,
426,Geográfico,
427,Hombre,
429,Artes/Cultura,
432,Hombre,
435,Hombre,
438,Hombre,
441,Histórico,
442,Hombre,
444,Flora,
445,Geográfico,
447,Artes/Cultura,
450,Geográfico,
455,Hombre,
456,Hombre,
457,Hombre,
459,Lugar/Ciudad,
462,Mujer,Heroína
465,Hombre,
468,Hombre,
471,Hombre,
477,Hombre,
480,Hombre,
486,Hombre,
487,Hombre,
489,Lugar/Ciudad,
492,Artes/Cultura,
495,Hombre,
498,Hombre,
501,Hombre,
504,Hombre,
507,Descriptivo,
508,Histórico,
510,Mujer,Cultura
513,Lugar/Ciudad,
519,Geográfico,
522,Geográfico,
523,Mujer,Política
525,Pais/Nación/Región,
528,Hombre,
529,Histórico,
531,Pais/Nación/Región,
532,Hombre,
534,Pais/Nación/Región,
537,Hombre,
538,Astronómico,
539,Hombre,
540,Artes/Cultura,
541,Pais/Nación/Región,
542,Hombre,
543,Hombre,
545,Hombre,
546,Hombre,
547,Hombre,
549,Pais/Nación/Región,
552,Hombre,
555,Hombre,
556,Hombre,
558,Hombre,
561,Hombre,
562,Flora,
564,Hombre,
565,Hombre,
566,Hombre,
567,Histórico,
570,Hombre,
573,Hombre,
576,Hombre,
577,Hombre,
578,Hombre,
579,Hombre,
582,Hombre,
583,Pais/Nación/Región,
585,Hombre,
588,Hombre,
591,Geográfico,
594,Hombre,
597,Hombre,
600,Hombre,
601,Hombre,
603,Mujer,Madre/Esposa/Hija
604,Otro,
605,Descriptivo,
606,Hombre,
609,Hombre,
612,Hombre,
615,Hombre,
617,Hombre,
618,Hombre,
621,Hombre,
623,Histórico,
624,Hombre,
625,Hombre,
626,Hombre,
627,Hombre,
630,Histórico,
633,Hombre,
636,Histórico,
639,Lugar/Ciudad,
